Weather Condition,Road Condition,Light Condition,Speed Limit (mph),Traffic Signal,Accident
A,E,I,60,L,0
B,F,K,45,N,1
C,G,J,30,M,1
A,E,K,65,L,0
D,H,I,55,M,1
B,F,K,40,N,0
C,G,J,35,M,1
A,E,I,70,L,0
D,H,K,50,N,1
B,F,J,55,N,0
A,E,K,75,L,0
C,G,I,45,N,1
B,F,K,60,L,0
C,G,J,50,M,1
A,E,K,65,L,0
D,H,I,40,N,1
B,F,J,70,N,0
C,G,K,55,M,1
A,E,I,50,L,0
D,H,K,35,N,1
B,F,J,45,N,0
A,E,K,60,L,0
C,G,I,40,M,1
B,F,K,55,N,0
C,G,J,65,L,1
A,E,I,55,L,0
D,H,K,30,N,1
B,F,J,50,N,0
A,E,K,70,L,0
C,G,I,45,M,1
B,F,K,75,N,0
C,G,J,55,M,1
A,E,I,60,L,0
D,H,K,40,N,1
B,F,J,65,N,0
A,E,K,50,L,0
C,G,I,35,M,1
B,F,K,60,N,0
C,G,J,70,L,1
A,E,I,45,L,0
D,H,K,55,N,1
B,F,J,60,N,0
A,E,K,75,L,0
C,G,I,40,M,1
B,F,K,55,N,0
C,G,J,65,L,1
A,E,I,50,L,0
D,H,K,30,N,1
B,F,J,45,N,0
A,E,K,60,L,0
